Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Chen Y., Chen S.D.M., Chen F.K.","57192721157;8367308500;7404908114;","BRANCH RETINAL VEIN OCCLUSION SECONDARY TO A RETINAL ARTERIOLAR MACROANEURYSM: A NOVEL MECHANISM SUPPORTED BY MULTIMODAL IMAGING",2019,"Retinal cases & brief reports","13","1",,"10","14",,,"10.1097/ICB.0000000000000517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058766348&doi=10.1097%2fICB.0000000000000517&partnerID=40&md5=4379fb95cccbf0c301a9d1ce4a9b74ad","Centre for Ophthalmology and Visual Science (incorporating Lions Eye Institute), University of Western Australia, Perth, WA, Australia; Department of Ophthalmology, Royal Perth Hospital, Perth, WA, Australia; Vision Eye Institute, Chatswood, NSW, Australia","Chen, Y., Centre for Ophthalmology and Visual Science (incorporating Lions Eye Institute), University of Western Australia, Perth, WA, Australia, Department of Ophthalmology, Royal Perth Hospital, Perth, WA, Australia; Chen, S.D.M., Vision Eye Institute, Chatswood, NSW, Australia; Chen, F.K., Centre for Ophthalmology and Visual Science (incorporating Lions Eye Institute), University of Western Australia, Perth, WA, Australia, Department of Ophthalmology, Royal Perth Hospital, Perth, WA, Australia",Article,"Final",,Scopus,2-s2.0-85058766348
"McGonagle L., Convery-Chan L., DeCruz P., Haebich S., Fick D.P., Khan R.J.K.","25628372200;57205406335;57205398429;14039182600;12645833700;12646521300;","Factors influencing return to work after hip and knee arthroplasty",2019,"Journal of Orthopaedics and Traumatology","20","1", 9,"","",,,"10.1186/s10195-018-0515-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059881286&doi=10.1186%2fs10195-018-0515-x&partnerID=40&md5=16e34bd77c7fa31d05fba01c135e1f0f","Geraldton Regional Hospital, 51-85 Shenton Street, Geraldton, WA  6530, Australia; University of Western Australia, 35 Stirling Hwy, Crawley, WA  6009, Australia; The Joint Studio, Hollywood Medical Centre, Suite 1, 85 Monash Avenue, Nedlands, WA  6009, Australia; Department of Medicine, Notre Dame University, 32 Mouat St, Fremantle, WA  6160, Australia","McGonagle, L., Geraldton Regional Hospital, 51-85 Shenton Street, Geraldton, WA  6530, Australia; Convery-Chan, L., University of Western Australia, 35 Stirling Hwy, Crawley, WA  6009, Australia; DeCruz, P., The Joint Studio, Hollywood Medical Centre, Suite 1, 85 Monash Avenue, Nedlands, WA  6009, Australia; Haebich, S., The Joint Studio, Hollywood Medical Centre, Suite 1, 85 Monash Avenue, Nedlands, WA  6009, Australia; Fick, D.P., The Joint Studio, Hollywood Medical Centre, Suite 1, 85 Monash Avenue, Nedlands, WA  6009, Australia; Khan, R.J.K., The Joint Studio, Hollywood Medical Centre, Suite 1, 85 Monash Avenue, Nedlands, WA  6009, Australia, Department of Medicine, Notre Dame University, 32 Mouat St, Fremantle, WA  6160, Australia",Article,"Final",Open Access,Scopus,2-s2.0-85059881286
"Gao M., Gao W., Papadimitriou J.M., Zhang C., Gao J., Zheng M.","57204956685;35262235900;7202356471;9744814600;55955550900;55624486744;","Correction to: Exosomes—the enigmatic regulators of bone homeostasis (Bone Research, (2018), 6, 1, (36), 10.1038/s41413-018-0039-2)",2019,"Bone Research","7","1", 3,"","",,,"10.1038/s41413-018-0043-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060768098&doi=10.1038%2fs41413-018-0043-6&partnerID=40&md5=f0c1711ccc1b6009faed4e0c095f414b","Centre for Orthopaedic Research, Faculty of Health and Medical Sciences, The University of Western Australia, Nedlands, WA  6009, Australia; Perron Institute for Neurological and Translational Science, Nedlands, WA  6009, Australia; Department of Orthopaedics, The Second Affiliated Hospital and Yuying Children’s Hospital of Wenzhou Medical University, Wenzhou, China; Pathwest laboratory, Perth, WA, Australia; Department of Orthopaedics, Shanghai Sixth People’s Hospital, Shanghai Jiaotong University, Shanghai, China","Gao, M., Centre for Orthopaedic Research, Faculty of Health and Medical Sciences, The University of Western Australia, Nedlands, WA  6009, Australia, Perron Institute for Neurological and Translational Science, Nedlands, WA  6009, Australia; Gao, W., Department of Orthopaedics, The Second Affiliated Hospital and Yuying Children’s Hospital of Wenzhou Medical University, Wenzhou, China; Papadimitriou, J.M., Centre for Orthopaedic Research, Faculty of Health and Medical Sciences, The University of Western Australia, Nedlands, WA  6009, Australia, Pathwest laboratory, Perth, WA, Australia; Zhang, C., Department of Orthopaedics, Shanghai Sixth People’s Hospital, Shanghai Jiaotong University, Shanghai, China; Gao, J., Centre for Orthopaedic Research, Faculty of Health and Medical Sciences, The University of Western Australia, Nedlands, WA  6009, Australia, Perron Institute for Neurological and Translational Science, Nedlands, WA  6009, Australia, Department of Orthopaedics, Shanghai Sixth People’s Hospital, Shanghai Jiaotong University, Shanghai, China; Zheng, M., Centre for Orthopaedic Research, Faculty of Health and Medical Sciences, The University of Western Australia, Nedlands, WA  6009, Australia, Perron Institute for Neurological and Translational Science, Nedlands, WA  6009, Australia",Erratum,"Final",Open Access,Scopus,2-s2.0-85060768098
"Usher K.M., Zhu S., Mavropalias G., Carrino J.A., Zhao J., Xu J.","7003691773;56020223000;56589989300;7003950459;57203787359;57203521448;","Pathological mechanisms and therapeutic outlooks for arthrofibrosis",2019,"Bone Research","7","1", 9,"","",,,"10.1038/s41413-019-0047-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063550954&doi=10.1038%2fs41413-019-0047-x&partnerID=40&md5=3df4b3cf54bea962716ee535f56c57aa","School of Biomedical Sciences, University of Western Australia, Crawley, WA, Australia; Department of Orthopaedics, The Second Affiliated Hospital and Yuying Children’s Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China; School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia; Hospital for Special Surgery, New York, NY, United States; Guangxi Key Laboratory of Regenerative Medicine, Guangxi Medical University, Nanning, Guangxi, China; Department of Orthopaedic Surgery, The First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi, China","Usher, K.M., School of Biomedical Sciences, University of Western Australia, Crawley, WA, Australia; Zhu, S., Department of Orthopaedics, The Second Affiliated Hospital and Yuying Children’s Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China; Mavropalias, G., School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia; Carrino, J.A., Hospital for Special Surgery, New York, NY, United States; Zhao, J., Guangxi Key Laboratory of Regenerative Medicine, Guangxi Medical University, Nanning, Guangxi, China, Department of Orthopaedic Surgery, The First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi, China; Xu, J., School of Biomedical Sciences, University of Western Australia, Crawley, WA, Australia, Guangxi Key Laboratory of Regenerative Medicine, Guangxi Medical University, Nanning, Guangxi, China",Review,"Final",Open Access,Scopus,2-s2.0-85063550954
"Regli A., Pelosi P., Malbrain M.L.N.G.","6507326428;57205413735;7003362075;","Ventilation in patients with intra-abdominal hypertension: what every critical care physician needs to know",2019,"Annals of Intensive Care","9","1", 52,"","",,,"10.1186/s13613-019-0522-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064945890&doi=10.1186%2fs13613-019-0522-y&partnerID=40&md5=db7a0804af037a6ebfd36f7729cc9058","Department of Intensive Care, Fiona Stanley Hospital, Murdoch Drive, Murdoch, WA  6152, Australia; Medical School, Division of Emergency Medicine, The University of Western Australia, Sterling Highway, Crawley, Perth, WA  6009, Australia; Medical School, The Notre Dame University, Henry Road, Fremantle, Perth, WA  6959, Australia; Department of Surgical Sciences and Integrated Diagnostics, University of Genoa, Genoa, Italy; San Martino Policlinico Hospital, IRCCS for Oncology and Neurosciences, Genoa, Italy; Intensive Care Unit, University Hospital Brussels (UZB), Jette, Belgium; Faculty of Medicine and Pharmacy, Vrije Universiteit Brussel (VUB), Brussels, Belgium","Regli, A., Department of Intensive Care, Fiona Stanley Hospital, Murdoch Drive, Murdoch, WA  6152, Australia, Medical School, Division of Emergency Medicine, The University of Western Australia, Sterling Highway, Crawley, Perth, WA  6009, Australia, Medical School, The Notre Dame University, Henry Road, Fremantle, Perth, WA  6959, Australia; Pelosi, P., Department of Surgical Sciences and Integrated Diagnostics, University of Genoa, Genoa, Italy, San Martino Policlinico Hospital, IRCCS for Oncology and Neurosciences, Genoa, Italy; Malbrain, M.L.N.G., Intensive Care Unit, University Hospital Brussels (UZB), Jette, Belgium, Faculty of Medicine and Pharmacy, Vrije Universiteit Brussel (VUB), Brussels, Belgium",Review,"Final",Open Access,Scopus,2-s2.0-85064945890
"Corbett M.A., van Eyk C.L., Webber D.L., Bent S.J., Newman M., Harper K., Berry J.G., Azmanov D.N., Woodward K.J., Gardner A.E., Slee J., Pérez-Jurado L.A., MacLennan A.H., Gecz J.","20435470600;43561703400;57205096527;57206409818;57205103228;57201728848;57205102096;26530584100;57206325969;7202406153;6701736075;7203035731;7103227490;16419312800;","Author Correction: Pathogenic copy number variants that affect gene expression contribute to genomic burden in cerebral palsy (npj Genomic Medicine, (2018), 3, 1, (33), 10.1038/s41525-018-0073-4)",2019,"npj Genomic Medicine","4","1", 11,"","",,,"10.1038/s41525-019-0086-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066620462&doi=10.1038%2fs41525-019-0086-7&partnerID=40&md5=bc816fa1b200c58a350c436020267474","Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Data61, Commonwealth Scientific and Industrial Research Organisation, Ecosciences Precinct, Dutton Park, Brisbane, QLD  4102, Australia; School of Biological Sciences, University of Adelaide, Adelaide, SA  5005, Australia; Department of Diagnostic Genomics, Queen Elizabeth II Medical Centre, PathWest, Nedlands, WA  6009, Australia; School of Biomedical Sciences, University of Western Australia, Perth, WA  6009, Australia; Genetic Services of Western Australia, King Edward Memorial Hospital, Subiaco, WA  6008, Australia; Genetics Unit, Universitat Pompeu Fabra, Barcelona, 08003, Spain; Hospital del Mar Research Institute (IMIM) and Centro de Investigación Biomédica en Red de Enfermedades Raras (CIBERER), Barcelona, 08003, Spain; SA Clinical Genetics, Women’s and Children’s Hospital & University of Adelaide, Adelaide, SA  5006, Australia; South Australian Health and Medical Research Institute, Adelaide, SA  5000, Australia","Corbett, M.A., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; van Eyk, C.L., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Webber, D.L., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Bent, S.J., Data61, Commonwealth Scientific and Industrial Research Organisation, Ecosciences Precinct, Dutton Park, Brisbane, QLD  4102, Australia; Newman, M., School of Biological Sciences, University of Adelaide, Adelaide, SA  5005, Australia; Harper, K., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Berry, J.G., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Azmanov, D.N., Department of Diagnostic Genomics, Queen Elizabeth II Medical Centre, PathWest, Nedlands, WA  6009, Australia; Woodward, K.J., Department of Diagnostic Genomics, Queen Elizabeth II Medical Centre, PathWest, Nedlands, WA  6009, Australia, School of Biomedical Sciences, University of Western Australia, Perth, WA  6009, Australia; Gardner, A.E., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Slee, J., Genetic Services of Western Australia, King Edward Memorial Hospital, Subiaco, WA  6008, Australia; Pérez-Jurado, L.A., Genetics Unit, Universitat Pompeu Fabra, Barcelona, 08003, Spain, Hospital del Mar Research Institute (IMIM) and Centro de Investigación Biomédica en Red de Enfermedades Raras (CIBERER), Barcelona, 08003, Spain, SA Clinical Genetics, Women’s and Children’s Hospital & University of Adelaide, Adelaide, SA  5006, Australia, South Australian Health and Medical Research Institute, Adelaide, SA  5000, Australia; MacLennan, A.H., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia; Gecz, J., Robinson Research Institute & Adelaide Medical School, University of Adelaide, Adelaide, SA  5000, Australia, South Australian Health and Medical Research Institute, Adelaide, SA  5000, Australia",Erratum,"Final",Open Access,Scopus,2-s2.0-85066620462
"Su Y., Flores S., Wang G., Hornbeck R.C., Speidel B., Joseph-Mathurin N., Vlassenko A.G., Gordon B.A., Koeppe R.A., Klunk W.E., Jack C.R., Jr., Farlow M.R., Salloway S., Snider B.J., Berman S.B., Roberson E.D., Brosch J., Jimenez-Velazques I., van Dyck C.H., Galasko D., Yuan S.H., Jayadev S., Honig L.S., Gauthier S., Hsiung G.-Y.R., Masellis M., Brooks W.S., Fulham M., Clarnette R., Masters C.L., Wallon D., Hannequin D., Dubois B., Pariente J., Sanchez-Valle R., Mummery C., Ringman J.M., Bottlaender M., Klein G., Milosavljevic-Ristic S., McDade E., Xiong C., Morris J.C., Bateman R.J., Benzinger T.L.S.","55705001600;55533424300;55932820300;57188659236;56526747600;55367057800;6507526619;36862511300;23050318400;57203043891;18033457700;7006267199;7003840992;55664105000;7202790558;57203438766;6506996548;57206661033;7004821580;57200742211;57206659530;6701606450;56954714300;55535408900;7005203713;7004107743;35403932800;7005082387;57208324592;35373080600;34878129800;7006081656;7101841106;8937960200;6602405836;7006655431;56913106000;7003350322;7403533905;6507848954;24166629000;57204883102;35355376000;27169448500;6603827262;","Comparison of Pittsburgh compound B and florbetapir in cross-sectional and longitudinal studies",2019,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring","11",,,"180","190",,1,"10.1016/j.dadm.2018.12.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061783606&doi=10.1016%2fj.dadm.2018.12.008&partnerID=40&md5=f265a1c8a48cfc2805e3b507b6f99ada","Banner Alzheimer's Institute, Phoenix, AZ, United States; Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States; Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States; Division of Biostatistics, Washington University School of Medicine, Saint Louis, MO, United States; Department of Neurological Surgery, University of California, San Francisco, CA, United States; Department of Radiology, University of Michigan, Ann Arbor, MI, United States; Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA, United States; Department of Radiology, Mayo Clinic, Rochester, MN, United States; Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, United States; Butler Hospital, Providence, RI, United States; Department of Neurology, Washington University School of Medicine, Saint Louis, MO, United States; Department of Neurology, University of Pittsburgh, Pittsburgh, PA, United States; Department of Neurology, University of Alabama at Birmingham, Birmingham, AL, United States; University of Puerto Rico, San Juan, Puerto Rico; Yale University School of Medicine, New Haven, CT, United States; University of California-San Diego, San Diego, CA, United States; University of Washington, Seattle, WA, United States; Columbia University, New York, NY, United States; McGill Center for Studies in Aging, Douglas Mental Health Research Institute, Montreal, Canada; University of British Columbia, Vancouver, British Columbia, Canada; Sunnybrook Health Sciences Center, Toronto, Ontario, Canada; The University of New South Wales, Sydney, NSW, Australia; University of Sydney and Royal Prince Alfred Hospital, Sydney, NSW, Australia; University of Western Australia, Crawley, WA, Australia; The University of Melbourne and the Florey Institute, Parkville, VIC, Australia; Inserm U1245, Department of Neurology and CNR-MAJ, Rouen, France; Normandy Center for Genomic and Personalized Medicine, Rouen, France; University Salpêtrière Hospital in Paris, Paris, France; University of Toulouse, Toulouse, France; Hospital Clínic, Barcelona, Spain; University College London, London, United Kingdom; Keck School of Medicine at the University of Southern California, Los Angeles, CA, United States; Service Hospitalier Frédéric Joliot, CEA, Orsay, France; F. Hoffmann-La Roche Ltd., Switzerland","Su, Y., Banner Alzheimer's Institute, Phoenix, AZ, United States; Flores, S., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States; Wang, G., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Division of Biostatistics, Washington University School of Medicine, Saint Louis, MO, United States; Hornbeck, R.C., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States; Speidel, B., Department of Neurological Surgery, University of California, San Francisco, CA, United States; Joseph-Mathurin, N., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States; Vlassenko, A.G., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States, Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States; Gordon, B.A., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States, Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States; Koeppe, R.A., Department of Radiology, University of Michigan, Ann Arbor, MI, United States; Klunk, W.E., Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA, United States; Jack, C.R., Jr., Department of Radiology, Mayo Clinic, Rochester, MN, United States; Farlow, M.R., Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, United States; Salloway, S., Butler Hospital, Providence, RI, United States; Snider, B.J., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Department of Neurology, Washington University School of Medicine, Saint Louis, MO, United States; Berman, S.B., Department of Neurology, University of Pittsburgh, Pittsburgh, PA, United States; Roberson, E.D., Department of Neurology, University of Alabama at Birmingham, Birmingham, AL, United States; Brosch, J., Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, United States; Jimenez-Velazques, I., University of Puerto Rico, San Juan, Puerto Rico; van Dyck, C.H., Yale University School of Medicine, New Haven, CT, United States; Galasko, D., University of California-San Diego, San Diego, CA, United States; Yuan, S.H., University of California-San Diego, San Diego, CA, United States; Jayadev, S., University of Washington, Seattle, WA, United States; Honig, L.S., Columbia University, New York, NY, United States; Gauthier, S., McGill Center for Studies in Aging, Douglas Mental Health Research Institute, Montreal, Canada; Hsiung, G.-Y.R., University of British Columbia, Vancouver, British Columbia, Canada; Masellis, M., Sunnybrook Health Sciences Center, Toronto, Ontario, Canada; Brooks, W.S., The University of New South Wales, Sydney, NSW, Australia; Fulham, M., University of Sydney and Royal Prince Alfred Hospital, Sydney, NSW, Australia; Clarnette, R., University of Western Australia, Crawley, WA, Australia; Masters, C.L., The University of Melbourne and the Florey Institute, Parkville, VIC, Australia; Wallon, D., Inserm U1245, Department of Neurology and CNR-MAJ, Rouen, France, Normandy Center for Genomic and Personalized Medicine, Rouen, France; Hannequin, D., Inserm U1245, Department of Neurology and CNR-MAJ, Rouen, France, Normandy Center for Genomic and Personalized Medicine, Rouen, France; Dubois, B., University Salpêtrière Hospital in Paris, Paris, France; Pariente, J., University of Toulouse, Toulouse, France; Sanchez-Valle, R., Hospital Clínic, Barcelona, Spain; Mummery, C., University College London, London, United Kingdom; Ringman, J.M., Keck School of Medicine at the University of Southern California, Los Angeles, CA, United States; Bottlaender, M., Service Hospitalier Frédéric Joliot, CEA, Orsay, France; Klein, G., F. Hoffmann-La Roche Ltd., Switzerland; Milosavljevic-Ristic, S., F. Hoffmann-La Roche Ltd., Switzerland; McDade, E., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Department of Neurology, Washington University School of Medicine, Saint Louis, MO, United States; Xiong, C., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Division of Biostatistics, Washington University School of Medicine, Saint Louis, MO, United States; Morris, J.C., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Department of Neurology, Washington University School of Medicine, Saint Louis, MO, United States; Bateman, R.J., Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States, Department of Neurology, Washington University School of Medicine, Saint Louis, MO, United States; Benzinger, T.L.S., Department of Radiology, Washington University School of Medicine, Saint Louis, MO, United States, Knight Alzheimer Disease Research Center, Washington University School of Medicine, Saint Louis, MO, United States",Article,"Final",Open Access,Scopus,2-s2.0-85061783606
"Zaid A., Mohammad F., Wani S.H., Siddique K.M.H.","57201615620;14030289000;26221990800;57208887194;","Salicylic acid enhances nickel stress tolerance by up-regulating antioxidant defense and glyoxalase systems in mustard plants",2019,"Ecotoxicology and Environmental Safety","180",,,"575","587",,,"10.1016/j.ecoenv.2019.05.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066039403&doi=10.1016%2fj.ecoenv.2019.05.042&partnerID=40&md5=98689fd54d4f72ebed0a355de0c2092a","Plant Physiology and Biochemistry Section, Department of Botany, Aligarh Muslim University, Aligarh, 202002, India; Mountain Research Centre for Field Crops, Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir, Khudwani AnantnagJ&K  192101, India; The UWA Institute of Agriculture, The University of Western Australia, LB 5005, Perth, WA  6001, Australia","Zaid, A., Plant Physiology and Biochemistry Section, Department of Botany, Aligarh Muslim University, Aligarh, 202002, India; Mohammad, F., Plant Physiology and Biochemistry Section, Department of Botany, Aligarh Muslim University, Aligarh, 202002, India; Wani, S.H., Mountain Research Centre for Field Crops, Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir, Khudwani AnantnagJ&K  192101, India; Siddique, K.M.H., The UWA Institute of Agriculture, The University of Western Australia, LB 5005, Perth, WA  6001, Australia",Article,"Final",,Scopus,2-s2.0-85066039403
"Zhang S., Yang C., Chen M., Chen J., Pan Y., Chen Y., Rahman S.U., Fan J., Zhang Y.","57208483714;57208753480;57208759666;57208480748;57207185633;57208759245;57193707860;57206687992;35301451500;","Influence of nitrogen availability on Cd accumulation and acclimation strategy of Populus leaves under Cd exposure",2019,"Ecotoxicology and Environmental Safety","180",,,"439","448",,,"10.1016/j.ecoenv.2019.05.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065716032&doi=10.1016%2fj.ecoenv.2019.05.031&partnerID=40&md5=31a04aa7f4d8895fc03e4746afd1efac","State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Institute of Soil and Water Conservation, Northwest A&F University, Yangling, Shaanxi  712100, China; The UWA Institute of Agriculture, School of Agriculture and Environment, The University of Western Australia, Perth, WA  6001, Australia","Zhang, S., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Yang, C., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Chen, M., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Chen, J., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Pan, Y., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Chen, Y., State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Institute of Soil and Water Conservation, Northwest A&F University, Yangling, Shaanxi  712100, China, The UWA Institute of Agriculture, School of Agriculture and Environment, The University of Western Australia, Perth, WA  6001, Australia; Rahman, S.U., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Fan, J., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China; Zhang, Y., State Key Laboratory of Crop Stress Biology in Arid Areas, College of Forestry, Northwest A&F University, Yangling, Shaanxi  712100, China",Article,"Final",,Scopus,2-s2.0-85065716032
"Gopalasingam G., Bartlett C.A., McGonigle T., Majimbi M., Warnock A., Ford A., Gough A., Toomey L.M., Fitzgerald M.","57201991292;7102859094;56291051800;57189574098;57209285723;57209286698;57202033547;57204641126;7402773604;","The effects of a combination of ion channel inhibitors on pathology in a model of demyelinating disease",2019,"Multiple Sclerosis and Related Disorders","34",,,"1","8",,,"10.1016/j.msard.2019.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067198723&doi=10.1016%2fj.msard.2019.06.005&partnerID=40&md5=17396d651a750bb08989c291968d2855","Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; School of Human Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia; Perron Institute for Neurological and Translational Science, Sarich Neuroscience Research Institute Building, 8 Verdun St, Nedlands, Western Australia  6009, Australia","Gopalasingam, G., Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia, School of Human Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; Bartlett, C.A., Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; McGonigle, T., Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia; Majimbi, M., Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia; Warnock, A., Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia; Ford, A., Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; Gough, A., Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia; Toomey, L.M., Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia, Perron Institute for Neurological and Translational Science, Sarich Neuroscience Research Institute Building, 8 Verdun St, Nedlands, Western Australia  6009, Australia; Fitzgerald, M., Experimental and Regenerative Neurosciences, School of Biological Sciences, The University of Western Australia, 35 Stirling Hwy, Nedlands, Western Australia  6009, Australia, Curtin Health Innovation Research Institute, Curtin University, Belmont, Western Australia, Australia, Perron Institute for Neurological and Translational Science, Sarich Neuroscience Research Institute Building, 8 Verdun St, Nedlands, Western Australia  6009, Australia",Article,"Final",,Scopus,2-s2.0-85067198723
